"text","user:screen_name"
"RT @carltonautism: even though i have autism i'm soooooo sweet that's why call me a sweetboy https://t.co/pdNhlBV6GC","chiefmodelotime"
"RT @soonsvt: “even if we don’t succeed, i have no regrets.” 

NO SEUNGKWAN WE WILL SUCCEED. NO MATTER WHAT. 😢 https://t.co/vk6iYW4rTj","hoshinatorr"
"@juliamcardinals Yeah, that's a no Rex is deconfirmed. They said they wanted to include him but it was too late so… https://t.co/N9vwE1UuGy","wynn728"
"RT @leanonmyprxde: meech looks good from all angles https://t.co/KY1R5Ptqto","DaTBoss_AngelR"
"RT @gencanoo: yall ever miss your own energy? like damn what happend to me","__alyvia_"
"RT @JoannMoretti: Is #China the next #AI superpower? https://t.co/BddPyBx50a #technology via @wef #artificial_intelligence #ArtificialIntel…","simplivllc"
"Looks like it's booty call o'clock.","Di_CapitalJ"
"Book It https://t.co/D19PFJerdX","BeLikeMike_xxii"
"@justinlent25 @NFL Yes, because the qb is totally responsible for winning championships in a sport that demands a t… https://t.co/IoQRbdKsgT","MarkBranning1"
"RT @hvgoenka: Traits of likeable people-

1. They treat people how they would like to be treated
2. Are principled and honest
3. Always smi…","Lyrndah"
"RT @robertaritzen: @RealJamesWoods My 401k has fully recovered and grown by 10.9 % this year. I've gotten 2 raises and with the tax cuts i…","susieki81845017"
"I never had a role model, but damn I look up to Jerry","AcidBlade_"
"you lost me at 2018-11-05 10:42:01.274 ; Now HELLO","maria124joseph"
"RT @WFUDeaconClub: Way to go, @WakeHockey! #GoDeacs 🏑🎩 https://t.co/WnPXhECDA6","sharonmattspel1"
"Congrats To The Beautiful Mariam Who Just Scooped The Miss Malaika Ghana 2018 Title https://t.co/pIkC0kBgXZ","motsaTV"
"RT @Landahh_Aubrey: I really love my friends. All 4 of them.","ohyeahpania"
"I'll be glad when this week is over. Miss 16 anxiety is high over exams.","LeeLee_Oz"
"RT @shoutohq: my cousin made his own deku costume HE'S SO CUTE I'M SO PROUD :(((( https://t.co/VeykZbXpnt","JoshKidd17"
"RT @GxdHuncho: Nigga look like Android 3000 https://t.co/BtNDvUBiBP","antonio_jarias"
"lgbt** lmao phone wack !!","radiolyric"
"Amazing story! How two 9 year-old girls saved #rainforest of #CostaRica! https://t.co/uvLmPRXMR3 #travel #wildlife #puravida","gypsynester"
"Damn that's a lot of money 😂😂 https://t.co/edoJgW6e7w","KeioshaDreams"
"RT @Bone_Brake: #RedTsunami 
#VoteDemsOUT
#WalkAwayNow
THIS IS OUR COUNTRY!
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/A7gRJ3ODWa","Irwbpk"
"@ArianaGrande @Camila_Cabello i staaaan","jimenaafraire"
"RT @AntiochTweets: Thread of the most hyphy Bay Area songs","loraleisiligaa"
